Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;Totalt i retning Akershus grense;26789;100,0;24;24;0;6;99,98;21509;5274;1347;1318;510;2099;2019;80
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;Totalt i retning Karihaugen;25174;100,0;24;24;0;4;99,98;20244;4926;1138;1261;522;2005;1932;73
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;Totalt;51963;100,0;24;24;0;10;99,98;41753;10200;2485;2579;1032;4104;3951;153
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;1;13159;100,0;24;24;0;60;99,54;12179;920;541;169;60;150;144;6
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;2;9698;100,0;24;24;0;0;100,00;9136;562;355;77;34;96;93;3
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;3;14606;100,0;24;24;0;135;99,08;10167;4304;785;1229;362;1928;1843;85
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;4;16152;100,0;24;24;0;0;100,00;11752;4400;812;1262;466;1860;1781;79
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;5;395;100,0;24;24;0;0;100,00;327;68;16;2;50;0;0;0
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;6;48;100,0;24;24;0;0;100,00;36;12;2;2;8;0;0;0
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;Totalt i retning Akershus grense;28160;100,0;24;24;0;195;99,31;22673;5292;1342;1400;472;2078;1987;91
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;Totalt i retning Karihaugen;25898;100,0;24;24;0;0;100,00;20924;4974;1169;1341;508;1956;1874;82
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;Totalt;54058;100,0;24;24;0;195;99,64;43597;10266;2511;2741;980;4034;3861;173
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-11T00:00+01:00;2022-03-12T00:00+01:00;2022-03-11;1;13184;100,0;24;24;0;190;98,56;12147;847;493;166;69;119;114;5
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-11T00:00+01:00;2022-03-12T00:00+01:00;2022-03-11;2;9045;100,0;24;24;0;0;100,00;8503;542;345;88;39;70;68;2
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-11T00:00+01:00;2022-03-12T00:00+01:00;2022-03-11;3;14527;100,0;24;24;0;250;98,28;10578;3699;799;1088;308;1504;1426;78
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-11T00:00+01:00;2022-03-12T00:00+01:00;2022-03-11;4;16265;100,0;24;24;0;1;99,99;12384;3880;781;1140;385;1574;1510;64
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-11T00:00+01:00;2022-03-12T00:00+01:00;2022-03-11;5;812;100,0;24;24;0;0;100,00;699;113;26;11;76;0;0;0
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-11T00:00+01:00;2022-03-12T00:00+01:00;2022-03-11;6;23;100,0;24;24;0;0;100,00;19;4;0;0;4;0;0;0
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-11T00:00+01:00;2022-03-12T00:00+01:00;2022-03-11;Totalt i retning Akershus grense;28522;100,0;24;24;0;439;98,46;23424;4659;1318;1265;453;1623;1540;83
